;CrawledSite;URL;Site;Content-type;IP;Status
0;https://www.allianz.com;https://www.allianz.com/en/;www.allianz.com;;194.127.81.31;200
1;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/css/production.css;www.allianz.com;;194.127.81.31;200
2;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/js/modernizr.js;www.allianz.com;;194.127.81.31;200
3;https://www.allianz.com;https://s7.addthis.com/js/300/addthis_widget.js;s7.addthis.com;application/javascript;104.121.155.5;200
4;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/js/production.js;www.allianz.com;;194.127.81.31;200
5;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/ALSANREG/ALSANREG.woff;www.allianz.com;;194.127.81.31;200
6;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/oneweb-controls/oneweb-controls.ttf;www.allianz.com;;194.127.81.31;200
7;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/oneweb-allianz/oneweb-allianz.ttf;www.allianz.com;;194.127.81.31;200
8;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/ALSANLIG/ALSANLIG.woff;www.allianz.com;;194.127.81.31;200
9;https://www.allianz.com;https://charts3.equitystory.com/teaser/allianz/English/share/;charts3.equitystory.com;;88.217.133.57;200
10;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/ALSANITA/ALSANITA.woff;www.allianz.com;;194.127.81.31;200
11;https://www.allianz.com;https://www.youtube.com/embed/uQk47V7wlB8?wmode=transparent&rel=0&autoplay=0&showinfo=0&autohide=2;www.youtube.com;"text/html; charset=utf-8";172.217.22.46;200
12;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/fonts/ALSANBOL/ALSANBOL.woff;www.allianz.com;;194.127.81.31;200
13;https://www.allianz.com;https://www.google-analytics.com/analytics.js;www.google-analytics.com;text/javascript;216.58.205.238;200
14;https://www.allianz.com;https://www.allianz.com/v_1525691291184/media/press/photo/virtual-car-keys2.jpg;www.allianz.com;;194.127.81.31;200
15;https://www.allianz.com;https://www.googletagmanager.com/gtm.js?id=GTM-5XG3268;www.googletagmanager.com;"text/html; charset=UTF-8";216.58.205.232;404
16;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/teaser.css?v=1;charts3.equitystory.com;;88.217.133.57;200
17;https://www.allianz.com;https://www.allianz.com/v_1510009200000/media/press/photo/AllianzResults4_960x400.png;www.allianz.com;;194.127.81.31;200
18;https://www.allianz.com;https://www.youtube.com/yts/cssbin/www-player-webp-vflbD-rkH.css;www.youtube.com;text/css;172.217.22.46;200
19;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/region/header/assets/allianz-header-background.png;www.allianz.com;;194.127.81.31;200
20;https://www.allianz.com;https://charts3.equitystory.com/css/reset-v2.0.css;charts3.equitystory.com;;88.217.133.57;200
21;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/block/social_toolbox/assets/ow_icon_mail.png;www.allianz.com;;194.127.81.31;200
22;https://www.allianz.com;https://www.youtube.com/yts/jsbin/www-embed-player-vflMWxoKL/www-embed-player.js;www.youtube.com;text/javascript;172.217.22.46;200
23;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/block/social_toolbox/assets/ow_icon_linkedin.png;www.allianz.com;;194.127.81.31;200
24;https://www.allianz.com;https://www.youtube.com/yts/jsbin/player-vflUPJQPD/de_DE/base.js;www.youtube.com;text/javascript;172.217.22.46;200
25;https://www.allianz.com;https://charts3.equitystory.com/js/highstock-v1.3.6.min.js;charts3.equitystory.com;;88.217.133.57;200
26;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/block/social_toolbox/assets/ow_icon_xing.png;www.allianz.com;;194.127.81.31;200
27;https://www.allianz.com;https://charts3.equitystory.com/js/jquery-v1.7.2.min.js;charts3.equitystory.com;;88.217.133.57;200
28;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/images/loading.gif;charts3.equitystory.com;;88.217.133.57;200
29;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/block/social_toolbox/assets/ow_icon_twitter.png;www.allianz.com;;194.127.81.31;200
30;https://www.allianz.com;https://www.allianz.com/v_11037721693474/system/master/presentation/block/social_toolbox/assets/ow_icon_facebook.png;www.allianz.com;;194.127.81.31;200
31;https://www.allianz.com;https://www.allianz.com/v_1525412856969/media/press/photo/green-future5.jpg;www.allianz.com;;194.127.81.31;200
32;https://www.allianz.com;https://www.allianz.com/v_1465855200000/images/logos/Allianz-Logo.jpg;www.allianz.com;;194.127.81.31;200
33;https://www.allianz.com;https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-63127150-1&cid=88189237.1526247700&jid=1918601215&_gid=418482796.1526247700&gjid=1252451003&_v=j67&z=2089286627;stats.g.doubleclick.net;image/gif;64.233.166.156;200
34;https://www.allianz.com;https://s7.addthis.com/static/sh.1836a2a6d9443e6d814c8dfc.html;s7.addthis.com;"text/html; charset=UTF-8";104.121.155.5;200
35;https://www.allianz.com;https://m.addthis.com/live/red_lojson/300lo.json?si=5af8b113692c7aae&bkl=0&bl=1&pdt=1380&sid=5af8b113692c7aae&pub=&rev=v8.3.12-wp&ln=en&pc=men&cb=0&ab=-&dp=www.allianz.com&fp=en%2F&fr=&of=0&pd=0&irt=0&vcl=0&md=0&ct=1&tct=0&abt=0&cdn=0&pi=1&rb=0&gen=100&chr=UTF-8&colc=1526247699705&jsl=1&uvs=5af8b113f09d0548000&skipb=1&callback=addthis.cbs.oln9_44111005125124690;m.addthis.com;"application/javascript;charset=UTF-8";104.121.155.5;200
36;https://www.allianz.com;https://charts3.equitystory.com/js/common-v1.0.0.min.js;charts3.equitystory.com;;88.217.133.57;200
37;https://www.allianz.com;https://static.doubleclick.net/instream/ad_status.js;static.doubleclick.net;text/javascript;216.58.205.230;200
38;https://www.allianz.com;https://www.google.com/js/bg/MEvUX7_3jG2ZA1Y0TqXguyXebcr29rWfKTXiIp5KkyU.js;www.google.com;text/javascript;216.58.205.228;200
39;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/images/up.gif;charts3.equitystory.com;;88.217.133.57;200
40;https://www.allianz.com;https://googleads.g.doubleclick.net/pagead/id;googleads.g.doubleclick.net;"text/html; charset=UTF-8";172.217.22.2;302
41;https://www.allianz.com;https://googleads.g.doubleclick.net/pagead/id?slf_rd=1;googleads.g.doubleclick.net;"application/json; charset=UTF-8";172.217.22.2;200
42;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/images/down.gif;charts3.equitystory.com;;88.217.133.57;200
43;https://www.munichre.com;https://www.munichre.com/en/homepage/index.html;www.munichre.com;;104.121.164.173;200
44;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/media.css;www.munichre.com;;104.121.164.173;200
45;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_master.css;www.munichre.com;;104.121.164.173;200
46;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/shariff.complete.css;www.munichre.com;;104.121.164.173;200
47;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_color.css;www.munichre.com;;104.121.164.173;200
48;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_master_retina.css;www.munichre.com;;104.121.164.173;200
49;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_color_retina.css;www.munichre.com;;104.121.164.173;200
50;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery-ui/css/smoothness/jquery-ui-1.10.2.custom.css;www.munichre.com;;104.121.164.173;200
51;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/content/content.css;www.munichre.com;;104.121.164.173;200
52;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceTemplate/-/283446/14150954972999/resource.content-colors.css;www.munichre.com;;104.121.164.173;200
53;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/pluginLib/pluginLib.1062431951.css;www.munichre.com;;104.121.164.173;200
54;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/flexslider.css;www.munichre.com;;104.121.164.173;200
55;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/jquery.powertip.min.css;www.munichre.com;;104.121.164.173;200
56;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/corporate.css;www.munichre.com;;104.121.164.173;200
57;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/corporate_color.css;www.munichre.com;;104.121.164.173;200
58;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline.css;www.munichre.com;;104.121.164.173;200
59;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline_retina.css;www.munichre.com;;104.121.164.173;200
60;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline2.css;www.munichre.com;;104.121.164.173;200
61;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_tablet_portrait.css;www.munichre.com;;104.121.164.173;200
62;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jqueryui-jquerytools-conflictfix.js;www.munichre.com;;104.121.164.173;200
63;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery/js/jquery-1.11.1.min.js;www.munichre.com;;104.121.164.173;200
64;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery-ui/js/jquery-ui-1.10.2.custom.min.js;www.munichre.com;;104.121.164.173;200
65;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/content/js/content.js;www.munichre.com;;104.121.164.173;200
66;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/search/js/search.js;www.munichre.com;;104.121.164.173;200
67;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/pluginLib/pluginLib.1760059337.js;www.munichre.com;;104.121.164.173;200
68;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/contentform/plugin.js;www.munichre.com;;104.121.164.173;200
69;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.fancybox-2.1.5.js;www.munichre.com;;104.121.164.173;200
70;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery-migrate-1.4.1.js;www.munichre.com;;104.121.164.173;200
71;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.tools.min.js;www.munichre.com;;104.121.164.173;200
72;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/swfobject.js;www.munichre.com;;104.121.164.173;200
73;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/pns_lib.js;www.munichre.com;;104.121.164.173;200
74;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.placeholder.js;www.munichre.com;;104.121.164.173;200
75;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.cookie.js;www.munichre.com;;104.121.164.173;200
76;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/imagesloaded.pkgd.min.js;www.munichre.com;;104.121.164.173;200
77;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.powertip.min.js;www.munichre.com;;104.121.164.173;200
78;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.flexslider-min.js;www.munichre.com;;104.121.164.173;200
79;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/corporate_dom_ops.js;www.munichre.com;;104.121.164.173;200
80;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/topicsonline.js;www.munichre.com;;104.121.164.173;200
81;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/easyXDM.js;www.munichre.com;;104.121.164.173;200
82;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/enquire-2.1.0.min.js;www.munichre.com;;104.121.164.173;200
83;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/mobile_dom_ops.js;www.munichre.com;;104.121.164.173;200
84;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.tinysort.min.js;www.munichre.com;;104.121.164.173;200
85;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.touchSwipe.min.js;www.munichre.com;;104.121.164.173;200
86;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.fixedheadertable.min.js;www.munichre.com;;104.121.164.173;200
87;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.tableTransformer.js;www.munichre.com;;104.121.164.173;200
88;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/pageSwiper.js;www.munichre.com;;104.121.164.173;200
89;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/browserinfo/mi24ReloadHandler.js;www.munichre.com;;104.121.164.173;200
90;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/browserinfo/browserinfo.js;www.munichre.com;;104.121.164.173;200
91;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/mre_dom_ops.js;www.munichre.com;;104.121.164.173;200
92;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/fixes.js;www.munichre.com;;104.121.164.173;200
93;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/overlay.js;www.munichre.com;;104.121.164.173;200
94;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/webtrends.load.js;www.munichre.com;;104.121.164.173;200
95;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_mobile.css;www.munichre.com;;104.121.164.173;200
96;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/shariff.min.js;www.munichre.com;;104.121.164.173;200
97;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/Munich-Re-logo.gif;www.munichre.com;;104.121.164.173;200
98;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/GB-2017-Stage-952x256.png;www.munichre.com;;104.121.164.173;200
99;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/picturefill.min.js;www.munichre.com;;104.121.164.173;200
100;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/webtrends-tracking.js;www.munichre.com;;104.121.164.173;200
101;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/952x256-munich-re-agm-2015.jpg;www.munichre.com;;104.121.164.173;200
102;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/clr/plScnBg.png;www.munichre.com;;104.121.164.173;200
103;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/img/bgBdy_mobile.png;www.munichre.com;;104.121.164.173;200
104;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/TO-Wenning-meets-Bosch-952x256.png;www.munichre.com;;104.121.164.173;200
105;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/font/Munich_RE_Web-Regular.woff;www.munichre.com;;104.121.164.173;200
106;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-agm-2015-228x114.jpg;www.munichre.com;;104.121.164.173;200
107;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/lgnRsk.png;www.munichre.com;;104.121.164.173;200
108;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/bgTeaserTxtHome.png;www.munichre.com;;104.121.164.173;200
109;https://www.munichre.com;https://www.munichre.com/site/corporate/get/documents/mr/assetpool.shared/Images/0_Corporate-Website/00_Home/munich-re-reinsurance-risk-solutions-conveyors-194x112.jpg;www.munichre.com;;104.121.164.173;200
110;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/img/bgSrc.gif;www.munichre.com;;104.121.164.173;200
111;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/img/arrow_navigation.gif;www.munichre.com;;104.121.164.173;200
